Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Season
Alessio Castro-Montes,340166,€5.00m,"Jun 12, 2025","May 17, 1997",28,1.75,Belgium,,Right Midfield,,Union SG,,,"Sep 2, 2023","Jun 30, 2026",2023-2024
William Balikwisha,381968,€1.20m,"Jun 12, 2025","May 12, 1999",26,1.73,DR Congo,,Attacking Midfield,,OH Leuven,,,"Jul 20, 2024","Jun 30, 2028",2023-2024
Renaud Emond,168471,,,"Dec 5, 1991",33,1.85,Belgium,,Centre-Forward,,Retired,KAS Eupen,"Jul 1, 2025",,,2023-2024
Merveille Bokadi,368612,€1.20m,"Apr 4, 2025","May 21, 1996",29,1.86,DR Congo,,Centre-Back,,Without Club,Standard Liège,"Jul 1, 2024",,,2023-2024
Maxime Wenssens,570819,,,"Nov 17, 2001",23,1.91,Rwanda,,Goalkeeper,,Thes Sport,,,"Jul 1, 2025","Jun 30, 2026",2023-2024
Wilfried Kanga,395523,€2.50m,"Jun 9, 2025","Feb 21, 1998",27,1.89,Cote d'Ivoire,,Centre-Forward,,KAA Gent,,,"Jul 1, 2025","Jun 30, 2028",2023-2024
Kelvin Yeboah,589737,€6.00m,"Jun 5, 2025","May 6, 2000",25,1.85,Italy,,Centre-Forward,,Minnesota,,,"Jul 27, 2024","Dec 31, 2027",2023-2024
Lucas Pirard,168166,€250k,"Jun 12, 2025","Mar 10, 1995",30,1.91,Belgium,Belgium,Goalkeeper,,Standard Liège,,,"Jul 1, 2025","Jun 30, 2028",2023-2024
Noah Dodeigne,583906,€350k,"Apr 24, 2025","Jan 21, 2003",22,,Belgium,,Left-Back,,RWDM Brussels,,,"Aug 13, 2024","Jun 30, 2026",2023-2024
Daan Dierckx,621965,€800k,"Jun 12, 2025","Feb 24, 2003",22,1.92,Belgium,,Centre-Back,,Standard Liège,,,"Jul 1, 2024","Jun 30, 2028",2023-2024
Aron Dønnum,476836,€4.00m,"Jun 3, 2025","Apr 20, 1998",27,1.78,Norway,,Left Midfield,,Toulouse,,,"Sep 1, 2023","Jun 30, 2028",2023-2024
Lucas Noubi,743379,€1.00m,"Jun 12, 2025","Jan 15, 2005",20,1.84,Belgium,,Centre-Back,,Dep. La Coruña,,,"Jul 1, 2025","Jun 30, 2029",2023-2024
Mohamed Amoura,746910,€32.00m,"Jun 5, 2025","May 9, 2000",25,1.7,Algeria,,Centre-Forward,,VfL Wolfsburg,,,"Jul 1, 2025","Jun 30, 2029",2023-2024
Hayao Kawabe,262489,€3.50m,"May 29, 2025","Sep 8, 1995",29,1.8,Japan,Japan,Central Midfield,"Attacking Midfield, Defensive Midfield",Sanf. Hiroshima,,,"Aug 2, 2024","Jun 30, 2027",2023-2024
Arnaud Bodart,417278,€2.50m,"Jun 2, 2025","Mar 11, 1998",27,1.86,Belgium,,Goalkeeper,,LOSC Lille,,,"Jul 1, 2025","Jun 30, 2027",2023-2024
Marlon Fossey,408562,€5.00m,"Jun 12, 2025","Sep 9, 1998",26,1.79,United States,"Jersey, United States",Right-Back,"Left-Back, Right Midfield",Standard Liège,,,"Sep 6, 2022","Jun 30, 2027",2023-2024
Souleyman Doumbia,296356,€1.00m,"Jun 5, 2025","Sep 24, 1996",28,1.78,Cote d'Ivoire,"France, Cote d'Ivoire",Left-Back,Left Midfield,Charlotte,,,"Mar 12, 2025","Dec 31, 2025",2023-2024
Charles Vanhoutte,569845,€6.00m,"Jun 12, 2025","Sep 16, 1998",26,1.82,Belgium,,Defensive Midfield,,Union SG,,,"Jul 1, 2023","Jun 30, 2027",2023-2024
Guillaume François,72736,€150k,"Jun 12, 2025","Jun 3, 1990",35,1.74,Belgium,,Right-Back,,Union SG,,,"Aug 12, 2020","Jun 30, 2026",2023-2024
Cihan Çanak,743376,€3.50m,"Jun 18, 2025","Jan 24, 2005",20,1.75,Türkiye,,Right Winger,,Trabzonspor,,,"Jul 1, 2024","Jun 30, 2027",2023-2024
Heinz Lindner,59082,€100k,"Jun 10, 2025","Jul 17, 1990",34,1.87,Austria,,Goalkeeper,,BSC Young Boys,,,"Jul 1, 2025","Jun 30, 2026",2023-2024
Matthieu Epolo,680218,€4.00m,"Jun 12, 2025","Jan 15, 2005",20,1.89,Belgium,"DR Congo, Belgium",Goalkeeper,,Standard Liège,,,"Jul 1, 2021","Jun 30, 2027",2023-2024
Bart Nieuwkoop,257987,€2.00m,"May 28, 2025","Mar 7, 1996",29,1.81,Netherlands,Netherlands,Right-Back,Right Midfield,Feyenoord,,,"Aug 10, 2023","Jun 30, 2027",2023-2024
Noa Louche,1177449,,,"Jan 18, 2005",20,,Belgium,Belgium,Goalkeeper,,Without Club,Union SG U23,"Jul 1, 2024",,,2023-2024
Ibe Hautekiet,565016,€3.50m,"Jun 12, 2025","Apr 13, 2002",23,1.88,Belgium,,Centre-Back,,Standard Liège,,,"Jan 31, 2023","Jun 30, 2027",2023-2024
Rabby Mateta Pepa,961053,,,"Jul 13, 2006",19,,Belgium,"DR Congo, Belgium",Central Midfield,"Defensive Midfield, Attacking Midfield",SL16 FC,,,"Jul 1, 2023","Jun 30, 2027",2023-2024
Loïc Lapoussin,533158,€2.50m,"Jun 12, 2025","Mar 27, 1996",29,1.81,Madagascar,,Left Midfield,,Sint-Truiden,,,"Feb 2, 2025","Jun 30, 2026",2023-2024
Jacob Barrett Laursen,185164,€300k,"Jun 18, 2025","Nov 17, 1994",30,1.79,Denmark,,Left-Back,,Häcken,,,"Aug 21, 2023","Dec 31, 2025",2023-2024
Kevin Rodríguez,684159,€1.50m,"Jun 12, 2025","Mar 4, 2000",25,1.9,Ecuador,,Centre-Forward,,Union SG,,,"Sep 1, 2023","Jun 30, 2027",2023-2024
Tiago Gomes,721788,,,"Aug 14, 2002",22,1.93,Cape Verde,"Belgium, Cape Verde",Goalkeeper,,Schaerbeek,,,"Jul 1, 2024","Jun 30, 2025",2023-2024
Brad Manguelle,981541,€800k,"Jun 12, 2025","Nov 27, 2007",17,1.85,Belgium,,Centre-Back,,KRC Genk,,,"Jul 1, 2024","Jun 30, 2027",2024-2025
Olivier Vliegen,400849,€150k,"Apr 24, 2025","Feb 7, 1999",26,1.9,Belgium,Belgium,Goalkeeper,,Jong Genk,,,"Jul 27, 2024","Jun 30, 2026",2024-2025
Thomas Claes,671682,€400k,"Jun 12, 2025","Mar 26, 2004",21,1.81,Belgium,Belgium,Central Midfield,Attacking Midfield,Zulte Waregem,,,"Jul 1, 2025","Jun 30, 2028",2024-2025
Robin Mirisola,952439,€900k,"Apr 24, 2025","Dec 8, 2006",18,1.82,Belgium,,Centre-Forward,,Jong Genk,,,"Jul 1, 2023","Jun 30, 2027",2024-2025
Adrián Palacios,1041316,€750k,"Jun 12, 2025","Jun 7, 2004",21,1.86,Venezuela,,Centre-Back,,KRC Genk,,,"Jul 1, 2024","Jun 30, 2028",2024-2025
Lucca Brughmans,1105547,€500k,"Jun 12, 2025","Jun 27, 2008",17,1.97,Belgium,Belgium,Goalkeeper,,KRC Genk,,,"Jul 1, 2024","Jun 30, 2028",2024-2025
Yira Sor,673382,€5.00m,"Jun 12, 2025","Jul 24, 2000",24,1.74,Nigeria,Nigeria,Left Winger,"Right Winger, Second Striker",KRC Genk,,,"Jan 1, 2023","Jun 30, 2027",2024-2025
Bryan Heynen,356081,€11.00m,"Jun 12, 2025","Feb 6, 1997",28,1.83,Belgium,,Central Midfield,,KRC Genk,,,"Jul 1, 2015","Jun 30, 2029",2024-2025
Zakaria El Ouahdi,820474,€12.00m,"Jun 12, 2025","Dec 31, 2001",23,1.75,Morocco,"Belgium, Morocco",Right-Back,"Right Midfield, Left-Back",KRC Genk,,,"Sep 5, 2023","Jun 30, 2028",2024-2025
Luca Oyen,551085,€1.50m,"Jun 12, 2025","Mar 14, 2003",22,1.74,Belgium,"Belgium, England",Left Winger,"Attacking Midfield, Second Striker",KRC Genk,,,"Jul 1, 2020","Jun 30, 2027",2024-2025
Jarne Steuckers,707159,€11.00m,"Jun 12, 2025","Feb 4, 2002",23,1.79,Belgium,Belgium,Right Winger,"Attacking Midfield, Left Winger",KRC Genk,,,"Jul 1, 2024","Jun 30, 2028",2024-2025
Tolu Arokodare,683571,€18.00m,"Jun 12, 2025","Nov 23, 2000",24,1.97,Nigeria,Nigeria,Centre-Forward,,KRC Genk,,,"Jan 31, 2023","Jun 30, 2027",2024-2025
Ken Nkuba,627939,€2.70m,"Jun 12, 2025","Jan 21, 2002",23,1.79,Belgium,,Right-Back,,KRC Genk,,,"Jan 30, 2024","Jun 30, 2028",2024-2025
Christopher Bonsu Baah,1119447,€7.50m,"Jun 12, 2025","Dec 14, 2004",20,1.72,Ghana,,Left Winger,,Al-Qadsiah,,,"Jul 7, 2025",-,2024-2025
Alieu Fadera,749552,€4.50m,"Jun 17, 2025","Nov 3, 2001",23,1.82,The Gambia,The Gambia,Left Winger,"Attacking Midfield, Centre-Forward",Como,,,"Aug 14, 2024","Jun 30, 2028",2024-2025
Josué Kongolo,997474,€1.50m,"Jun 12, 2025","Apr 13, 2006",19,1.84,Belgium,,Centre-Back,,KRC Genk,,,"Jul 1, 2023","Jun 30, 2028",2024-2025
Nikolas Sattlberger,669632,€3.50m,"Jun 12, 2025","Jan 18, 2004",21,1.91,Austria,,Defensive Midfield,,KRC Genk,,,"Aug 5, 2024","Jun 30, 2029",2024-2025
Kayden Pierre,806614,€600k,"Jun 12, 2025","Feb 16, 2003",22,1.75,United States,,Right-Back,,KRC Genk,,,"Sep 4, 2024","Jun 30, 2028",2024-2025
Matte Smets,1019174,€13.00m,"Jun 12, 2025","Jan 4, 2004",21,1.84,Belgium,,Centre-Back,,KRC Genk,,,"Jul 1, 2024","Jun 30, 2028",2024-2025
Mark McKenzie,429259,€6.00m,"Jun 3, 2025","Feb 25, 1999",26,1.84,United States,,Centre-Back,,Toulouse,,,"Aug 16, 2024","Jun 30, 2027",2024-2025
Patrik Hrosovsky,217879,€2.70m,"Jun 12, 2025","Apr 22, 1992",33,1.73,Slovakia,,Central Midfield,,KRC Genk,,,"Aug 16, 2019","Jun 30, 2026",2024-2025
Joris Kayembe,129586,€3.00m,"Jun 12, 2025","Aug 8, 1994",30,1.8,DR Congo,,Left-Back,,KRC Genk,,,"Jul 1, 2023","Jun 30, 2026",2024-2025
Hendrik Van Crombrugge,137326,€1.70m,"Jun 12, 2025","Apr 30, 1993",32,1.87,Belgium,,Goalkeeper,,KRC Genk,,,"Jul 18, 2023","Jun 30, 2027",2024-2025
Noah Adedeji-Sternberg,912436,€4.50m,"Jun 12, 2025","Jun 19, 2005",20,1.79,Belgium,,Left Winger,,KRC Genk,,,"Jan 1, 2024","Jun 30, 2026",2024-2025
Mike Penders,834397,€12.00m,"Jun 12, 2025","Jul 31, 2005",19,2.0,Belgium,Belgium,Goalkeeper,,Chelsea,,,"Aug 27, 2024","Jun 30, 2032",2024-2025
Carlos Cuesta,474589,€7.00m,"Jun 18, 2025","Mar 9, 1999",26,1.79,Colombia,,Centre-Back,,Galatasaray,,,"Feb 5, 2025","Jun 30, 2028",2024-2025
Andi Zeqiri,345468,€4.00m,"Jun 12, 2025","Jun 22, 1999",26,1.85,Switzerland,,Centre-Forward,,KRC Genk,,,"Sep 5, 2023","Jun 30, 2026",2024-2025
Hyeon-gyu Oh,639246,€3.50m,"Jun 12, 2025","Apr 12, 2001",24,1.85,"Korea, South",,Centre-Forward,,KRC Genk,,,"Jul 14, 2024","Jun 30, 2028",2024-2025
Yaimar Medina,893659,€3.50m,"Jun 12, 2025","Nov 5, 2004",20,1.78,Ecuador,,Left-Back,,KRC Genk,,,"Jan 9, 2025","Jun 30, 2029",2024-2025
Konstantinos Karetsas,990148,€20.00m,"Jun 12, 2025","Nov 19, 2007",17,1.74,Greece,"Greece, Belgium",Attacking Midfield,,KRC Genk,,,"Jan 1, 2024","Jun 30, 2027",2024-2025
Mujaid Sadick,497663,€8.00m,"Jun 12, 2025","Mar 14, 2000",25,1.85,Spain,,Centre-Back,,KRC Genk,,,"Jul 1, 2021","Jun 30, 2028",2024-2025
Bilal El Khannouss,654982,€28.00m,"May 30, 2025","May 10, 2004",21,1.8,Morocco,,Attacking Midfield,,Leicester,,,"Aug 29, 2024","Jun 30, 2028",2024-2025
Ibrahima Sory Bangoura,1038348,€8.00m,"Jun 12, 2025","Jan 5, 2004",21,1.9,Guinea,Guinea,Defensive Midfield,,KRC Genk,,,"Jan 1, 2024","Jun 30, 2028",2024-2025
Ross Sykes,450958,€2.50m,"Dec 10, 2025","Mar 26, 1999",26,1.96,England,England,Centre-Back,,Union SG,,,"Jul 1, 2022","Jun 30, 2027",2025-2026
Mujaid Sadick,497663,€8.00m,"Dec 10, 2025","Mar 14, 2000",25,1.83,Spain,,Centre-Back,,Genk,,,"Jul 1, 2021","Jun 30, 2028",2025-2026
Enrique Lofolomo,591032,€400k,"Dec 10, 2025","Apr 14, 2000",25,1.85,Germany,"Germany, DR Congo",Defensive Midfield,Centre-Back,Zulte Waregem,,,"Jul 1, 2025","Jun 30, 2027",2025-2026
Thomas Claes,671682,€1.20m,"Dec 10, 2025","Mar 26, 2004",21,1.81,Belgium,,Central Midfield,,Zulte Waregem,,,"Jul 1, 2025","Jun 30, 2028",2025-2026
Carlos Forbs,742451,€15.00m,"Dec 10, 2025","Mar 19, 2004",21,1.69,Portugal,"Portugal, Guinea-Bissau",Left Winger,Right Winger,Club Brugge,,,"Jul 17, 2025","Jun 30, 2029",2025-2026
Killian Sardella,454336,€5.00m,"Dec 10, 2025","May 2, 2002",23,1.74,Belgium,"Belgium, Cameroon",Right-Back,"Centre-Back, Left-Back",RSC Anderlecht,,,"Jul 1, 2019","Jun 30, 2028",2025-2026
David Bates,272539,€1.20m,"Dec 10, 2025","Oct 5, 1996",29,1.93,Scotland,,Centre-Back,,Standard Liège,,,"Jul 24, 2024","Jun 30, 2027",2025-2026
Souleyman Doumbia,296356,€600k,"Dec 10, 2025","Sep 24, 1996",29,1.78,Cote d'Ivoire,,Left-Back,,Standard Liège,,,"Jan 24, 2024","Jun 30, 2026",2025-2026
Lucas Hey,728924,€4.50m,"Dec 10, 2025","Apr 13, 2003",22,1.89,Denmark,Denmark,Centre-Back,,RSC Anderlecht,,,"Jan 21, 2025","Jun 30, 2029",2025-2026
Simen Juklerød,230985,€300k,"Dec 10, 2025","May 18, 1994",31,1.87,Norway,Norway,Left-Back,"Left Midfield, Right Midfield",Sint-Truiden,,,"Jan 16, 2025","Jun 30, 2026",2025-2026
Anton Tanghe,460848,€800k,"Dec 10, 2025","Jan 28, 1999",27,1.94,Belgium,,Centre-Back,,Zulte Waregem,,,"Jan 6, 2024","Jun 30, 2027",2025-2026
Nolan Gillot,808128,€250k,"Dec 10, 2025","Oct 31, 2002",23,1.83,France,France,Left-Back,Left Midfield,La Louvière,,,"Jul 1, 2024","Jun 30, 2026",2025-2026
Vince Osuji,1285176,€1.00m,"Dec 10, 2025","Apr 6, 2006",19,1.88,Nigeria,,Centre-Back,,Club Brugge,,,"Jan 23, 2025","Jun 30, 2029",2025-2026
Elyèss Dao,1047103,€400k,"Dec 10, 2025","Nov 20, 2006",19,1.83,Morocco,,Centre-Forward,,RSC Anderlecht,,,"Feb 3, 2025","Jun 30, 2029",2025-2026
Mats Rits,92164,€750k,"Dec 10, 2025","Jul 18, 1993",32,1.78,Belgium,,Defensive Midfield,,RSC Anderlecht,,,"Aug 15, 2023","Jun 30, 2026",2025-2026
Arbnor Muja,606967,€2.20m,"Dec 10, 2025","Nov 29, 1998",27,1.79,Albania,"Kosovo, Yugoslavia (Republic), Albania",Right Winger,Left Winger,Sint-Truiden,,,"Aug 27, 2025","Jun 30, 2026",2025-2026
Ivan Pavlic,719383,€250k,"Dec 10, 2025","Nov 10, 2001",24,1.85,Belgium,,Central Midfield,,Union SG,,,"Sep 3, 2025","Jun 30, 2029",2025-2026
Kevin Van Den Kerkhof,400680,€1.50m,"Dec 10, 2025","Mar 14, 1996",29,1.9,Algeria,"Algeria, France",Right-Back,Right Midfield,R Charleroi SC,,,"Aug 20, 2025","Jun 30, 2026",2025-2026
Max Dean,805889,€3.50m,"Dec 10, 2025","Feb 21, 2004",21,1.78,England,England,Centre-Forward,"Right Winger, Left Winger",KAA Gent,,,"Jul 12, 2024","Jun 30, 2028",2025-2026
Mouhamadou Sall,1507561,,,"Oct 21, 2007",18,1.85,Senegal,Senegal,Centre-Back,Right-Back,Zulte Waregem,,,"Jan 27, 2026","Jun 30, 2028",2025-2026
Hugo Siquet,578680,€4.00m,"Dec 10, 2025","Jul 9, 2002",23,1.8,Belgium,,Right-Back,,Club Brugge,,,"Jul 23, 2024","Jun 30, 2028",2025-2026
Bill Antonio,956050,€1.20m,"Dec 10, 2025","Sep 3, 2002",23,1.77,Zimbabwe,Zimbabwe,Right Winger,Right Midfield,KV Mechelen,,,"Jan 1, 2024","Jun 30, 2027",2025-2026
Nikola Mituljikic,706554,€600k,"Dec 10, 2025","Jan 20, 2003",23,1.8,Serbia,,Right Winger,,Zulte Waregem,,,"Aug 14, 2025","Jun 30, 2028",2025-2026
Jerry Afriyie,1332184,€1.00m,"Dec 10, 2025","Dec 10, 2006",19,1.8,Ghana,,Centre-Forward,,La Louvière,,,"Aug 24, 2025","Jun 30, 2026",2025-2026
Matt Lendfers,937107,€150k,"Dec 10, 2025","Mar 10, 2006",19,1.9,Belgium,"Netherlands, Belgium",Goalkeeper,,Sint-Truiden,,,"Jul 1, 2023","Jun 30, 2027",2025-2026
Ryotaro Ito,415522,€5.00m,"Dec 10, 2025","Feb 6, 1998",28,1.75,Japan,,Attacking Midfield,,Sint-Truiden,,,"Jul 1, 2023","Jun 30, 2026",2025-2026
René Mitongo,1241698,€500k,"Dec 10, 2025","Jan 18, 2008",18,1.87,Belgium,Belgium,Centre-Forward,,Standard Liège,,,"Jul 1, 2025","Jun 30, 2028",2025-2026
Théo Radelet,1123651,€50k,"Dec 10, 2025","Nov 15, 2007",18,1.93,Belgium,,Goalkeeper,,OH Leuven,,,"Jul 1, 2025","Jun 30, 2026",2025-2026
Louis Patris,502247,€3.00m,"Dec 10, 2025","Jun 7, 2001",24,1.87,Belgium,Belgium,Right-Back,Centre-Back,Union SG,,,"Sep 2, 2025","Jun 30, 2029",2025-2026
Henry Lawrence,580765,€1.50m,"Dec 10, 2025","Sep 21, 2001",24,1.75,England,,Right-Back,,Standard Liège,,,"Jul 1, 2024","Jun 30, 2029",2025-2026
Valy Konaté,1120020,€250k,"Dec 10, 2025","Nov 14, 2006",19,1.82,Cote d'Ivoire,Cote d'Ivoire,Left-Back,,Cercle Brugge,,,"Jul 1, 2025","Jun 30, 2026",2025-2026
Anosike Ementa,543311,€1.50m,"Dec 10, 2025","May 3, 2002",23,2.02,Denmark,,Centre-Forward,,Zulte Waregem,,,"Aug 7, 2025","Jun 30, 2028",2025-2026
Aiham Ousou,585068,€3.00m,"Dec 10, 2025","Jan 9, 2000",26,1.86,Syria,,Centre-Back,,R Charleroi SC,,,"Jan 7, 2025","Jun 30, 2028",2025-2026
Belmin Dizdarevic,483007,€100k,"Dec 17, 2025","Aug 9, 2001",24,1.89,Bosnia-Herzegovina,Bosnia-Herzegovina,Goalkeeper,,Standard Liège,,,"Jan 30, 2026",-,2025-2026
Yassine Khalifi,869462,€400k,"Dec 10, 2025","Aug 9, 2005",20,1.75,Morocco,,Central Midfield,,R Charleroi SC,,,"Jul 14, 2025","Jun 30, 2027",2025-2026
Matisse Samoise,705991,€2.50m,"Dec 10, 2025","Nov 21, 2001",24,1.8,Belgium,,Right Midfield,,KAA Gent,,,"Nov 30, 2020","Jun 30, 2028",2025-2026
Luc De Fougerolles,921995,€1.00m,"Dec 10, 2025","Oct 12, 2005",20,1.83,Canada,"England, Canada",Centre-Back,"Right-Back, Left-Back",FCV Dender EH,,,"Jul 30, 2025","Jun 30, 2026",2025-2026
Yaimar Medina,893659,€4.00m,"Dec 10, 2025","Nov 5, 2004",21,1.78,Ecuador,,Left-Back,,Genk,,,"Jan 9, 2025","Jun 30, 2029",2025-2026
Allahyar Sayyadmanesh,480975,€2.50m,"Dec 10, 2025","Jun 29, 2001",24,1.82,Iran,,Right Winger,,KVC Westerlo,,,"Jan 31, 2024","Jun 30, 2026",2025-2026
Joaquin Seys,981196,€15.00m,"Dec 10, 2025","Mar 28, 2005",20,1.78,Belgium,Belgium,Left-Back,Right-Back,Club Brugge,,,"Jul 1, 2024","Jun 30, 2029",2025-2026
Aimé Omgba,568373,€1.00m,"Dec 10, 2025","Oct 22, 2002",23,1.9,Netherlands,"Netherlands, Cameroon",Attacking Midfield,"Right Winger, Left Winger",KAA Gent,,,"Sep 4, 2024","Jun 30, 2029",2025-2026
Lucca Brughmans,1105547,€1.00m,"Dec 10, 2025","Jun 27, 2008",17,2.0,Belgium,,Goalkeeper,,Genk,,,"Jul 1, 2024","Jun 30, 2028",2025-2026
Matthieu Epolo,680218,€5.00m,"Dec 10, 2025","Jan 15, 2005",21,1.89,DR Congo,,Goalkeeper,,Standard Liège,,,"Jul 1, 2021","Jun 30, 2029",2025-2026
Ken Nkuba,627939,€2.50m,"Dec 10, 2025","Jan 21, 2002",24,1.79,Belgium,,Right-Back,,Genk,,,"Jan 30, 2024","Jun 30, 2028",2025-2026
Emran Soglo,913495,€400k,"Dec 10, 2025","Jul 11, 2005",20,1.78,England,"England, France",Left-Back,"Central Midfield, Left Midfield",Zulte Waregem,,,"Sep 8, 2025","Jun 30, 2026",2025-2026
Yira Sor,673382,€3.00m,"Dec 10, 2025","Jul 24, 2000",25,1.78,Nigeria,,Left Winger,,Genk,,,"Jan 1, 2023","Jun 30, 2027",2025-2026
Joachim Imbrechts,502261,€250k,"Dec 10, 2025","Oct 9, 2001",24,1.83,Sweden,,Goalkeeper,,RSC Anderlecht,,,"Jul 30, 2025","Jun 30, 2026",2025-2026
Lukas Willen,574501,€700k,"Dec 10, 2025","Apr 25, 2003",22,1.89,Belgium,Belgium,Centre-Back,Left-Back,Zulte Waregem,,,"Jul 1, 2022","Jun 30, 2026",2025-2026
Nicolò Tresoldi,717329,€10.00m,"Dec 10, 2025","Aug 20, 2004",21,1.86,Germany,,Centre-Forward,,Club Brugge,,,"Jul 1, 2025","Jun 30, 2029",2025-2026
Takahiro Akimoto,733309,€1.50m,"Dec 10, 2025","Jan 31, 1998",28,1.7,Japan,,Left-Back,,OH Leuven,,,"Jul 1, 2024","Jun 30, 2027",2025-2026
Anan Khalaili,945021,€12.00m,"Dec 10, 2025","Sep 3, 2004",21,1.83,Israel,Israel,Right Midfield,Right Winger,Union SG,,,"Jul 1, 2024","Jun 30, 2028",2025-2026
David Hrncar,471621,€750k,"Dec 10, 2025","Dec 10, 1997",28,1.87,Slovakia,Slovakia,Right Midfield,Right-Back,FCV Dender EH,,,"Jul 1, 2024","Jun 30, 2026",2025-2026
Vic Chambaere,565429,€300k,"Dec 10, 2025","Jan 10, 2003",23,1.91,Belgium,Belgium,Goalkeeper,,Union SG,,,"Jul 1, 2024","Jun 30, 2027",2025-2026
Joseph Opoku,1310437,€2.00m,"Dec 10, 2025","Aug 8, 2005",20,,Ghana,Ghana,Left Winger,Centre-Forward,Zulte Waregem,,,"Aug 29, 2024","Jun 30, 2027",2025-2026
Vincent Janssen,207015,€5.00m,"Dec 10, 2025","Jun 15, 1994",31,1.85,Netherlands,,Centre-Forward,,Royal Antwerp,,,"Jul 1, 2022","Jun 30, 2026",2025-2026
Kiki Kouyaté,211637,€2.50m,"Dec 10, 2025","Apr 15, 1997",28,1.92,Mali,,Centre-Back,,Royal Antwerp,,,"Aug 12, 2025","Jun 30, 2026",2025-2026
Dikeni Salifou,664973,€700k,"Dec 10, 2025","Jun 8, 2003",22,1.91,Germany,Germany,Central Midfield,"Defensive Midfield, Attacking Midfield",KV Mechelen,,,"Sep 7, 2025","Jun 30, 2028",2025-2026
Andreas Jungdal,592924,€2.50m,"Dec 10, 2025","Feb 22, 2002",23,1.95,Denmark,,Goalkeeper,,KVC Westerlo,,,"Jul 1, 2025","Jun 30, 2028",2025-2026
Josimar Alcócer,743629,€3.50m,"Dec 10, 2025","Jul 7, 2004",21,1.85,Costa Rica,"Nicaragua, Costa Rica",Left Winger,"Right Winger, Attacking Midfield",KVC Westerlo,,,"Aug 14, 2023","Jun 30, 2028",2025-2026
Noah Adedeji-Sternberg,912436,€5.00m,"Dec 10, 2025","Jun 19, 2005",20,1.8,Belgium,,Left Winger,,Genk,,,"Jan 1, 2024","Jun 30, 2028",2025-2026
Steve Ngoura,923838,€2.00m,"Dec 10, 2025","Feb 22, 2005",20,1.93,France,"Cameroon, France",Centre-Forward,,Cercle Brugge,,,"Jan 7, 2025","Jun 30, 2028",2025-2026
Isa Sakamoto,814491,€3.50m,"Dec 10, 2025","Aug 26, 2003",22,1.73,Japan,Japan,Attacking Midfield,"Left Winger, Centre-Forward",KVC Westerlo,,,"Jul 1, 2025","Jun 30, 2028",2025-2026
Abdoul Karim Traoré,1284784,€700k,"Dec 10, 2025","Jan 12, 2007",19,1.78,Guinea,Guinea,Centre-Forward,,OH Leuven,,,"Jul 8, 2025","Jun 30, 2028",2025-2026
Léandre Kuavita,723485,€1.20m,"Dec 10, 2025","May 31, 2004",21,1.8,Belgium,,Central Midfield,,Standard Liège,,,"Jul 1, 2024","Jun 30, 2026",2025-2026
Joël Ito,338652,€700k,"Dec 10, 2025","Mar 27, 1998",27,1.66,Belgium,Belgium,Attacking Midfield,"Central Midfield, Left Winger",La Louvière,,,"Jul 1, 2023","Jun 30, 2028",2025-2026
Jules Ahoka,1401779,€200k,"Dec 10, 2025","May 8, 2006",19,,DR Congo,DR Congo,Defensive Midfield,Central Midfield,Royal Antwerp,,,"Sep 8, 2025","Jun 30, 2029",2025-2026
Hendrik Van Crombrugge,137326,€1.70m,"Dec 10, 2025","Apr 30, 1993",32,1.89,Belgium,Belgium,Goalkeeper,,Genk,,,"Jul 18, 2023","Jun 30, 2027",2025-2026
Check Keita,820146,€2.50m,"Dec 10, 2025","Apr 2, 2003",22,1.85,Mali,"Mali, France",Centre-Back,Right-Back,R Charleroi SC,,,"Jul 4, 2024","Jun 30, 2027",2025-2026
Louis Fortin,706859,€100k,"Dec 10, 2025","Jan 12, 2002",24,1.88,Belgium,Belgium,Goalkeeper,,FCV Dender EH,,,"Aug 5, 2025","Jun 30, 2027",2025-2026
Kyriani Sabbe,743122,€6.00m,"Dec 10, 2025","Jan 26, 2005",21,1.75,Belgium,,Right-Back,,Club Brugge,,,"Jan 1, 2023","Jun 30, 2028",2025-2026
Roggerio Nyakossi,805484,€800k,"Dec 10, 2025","Jan 13, 2004",22,1.94,Switzerland,,Centre-Back,,OH Leuven,,,"Jan 27, 2025","Jun 30, 2027",2025-2026
Daan Heymans,446491,€4.00m,"Dec 10, 2025","Jun 15, 1999",26,1.91,Belgium,Belgium,Attacking Midfield,"Right Winger, Central Midfield",Genk,,,"Jul 1, 2025","Jun 30, 2029",2025-2026
Anas Tajaouart,1113308,€400k,"Dec 10, 2025","Sep 7, 2005",20,1.67,Morocco,"Belgium, Morocco",Central Midfield,Attacking Midfield,RSC Anderlecht,,,"Jul 1, 2025","Jun 30, 2029",2025-2026
Ibrahim Kanaté,1132628,€800k,"Dec 10, 2025","Oct 23, 2006",19,1.72,Mali,,Left Winger,,RSC Anderlecht,,,"Jul 1, 2025","Jun 30, 2028",2025-2026
Matthis Riou,806043,€400k,"Dec 10, 2025","Jan 19, 2001",25,1.81,France,France,Centre-Back,Defensive Midfield,La Louvière,,,"Jul 1, 2025","Jun 30, 2027",2025-2026
